;Вуз;Адрес;e-mail;Телефон;Сайт;Категории;Url;Url_With_Coordinates;lat;long
371;Нижегородская академия Министерства внутренних дел России;Нижний Новгород, ул. Анкудиновское шоссе, 3;na@mvd.ru;"(831) 464-30-18; (831) 421-72-76 (ПК)";https://na.mvd.ru/;МВД,Юридические;https://www.google.com/maps/search/Нижний Новгород, ул. Анкудиновское шоссе, 3;https://maps.google.com/maps/api/staticmap?center=56.270182%2C43.992863&zoom=17&size=256x256&language=en&sensor=false&client=google-maps-frontend&signature=h0dAv090U88Zk4iw6ZdGh44EgKc;56.270182;43.992863
372;Нижегородская государственная консерватория имени М.И. Глинки;г. Нижний Новгород (Нижегородская обл.), ул. Пискунова, д. 40;nngk.priem@yandex.ru;(831) 436-09-48 (приемная комиссия);http://nnovcons.ru;Вузы культуры;https://www.google.com/maps/search/г. Нижний Новгород (Нижегородская обл.), ул. Пискунова, д. 40;https://maps.google.com/maps/api/staticmap?center=56.327604%2C44.0128701&zoom=17&size=256x256&language=en&sensor=false&client=google-maps-frontend&signature=RIgaVw3bbYatiL0--FjKzvAiXSc;56.327604;44.0128701
373;Нижегородская государственная сельскохозяйственная академия;г. Нижний Новгород, пр. Гагарина, 97;ngsha-kancel-1@bk.ru;(831) 462-78-17;http://nnsaa.ru/;Аграрные,Биологические,Гуманитарные,Географические,Экономические,Медицинские,Технические;https://www.google.com/maps/search/г. Нижний Новгород, пр. Гагарина, 97;https://maps.google.com/maps/api/staticmap?center=56.2403371%2C43.9631086&zoom=17&size=256x256&language=en&sensor=false&client=google-maps-frontend&signature=uQfGqL0XDCgmdExOd4oOsV0d_W8;56.2403371;43.9631086
374;Нижегородский государственный архитектурно-строительный университет;г. Нижний Новгород (Нижегородская обл.), ул. Ильинская, д. 65;srec@nngasu.ru;(831) 280-84-45, 430-54-97;http://www.nngasu.ru;Архитектурные,Биологические,Вузы культуры,Гуманитарные,Дизайна,Информационные,Географические,Экономические,Сервиса,Строительные;https://www.google.com/maps/search/г. Нижний Новгород (Нижегородская обл.), ул. Ильинская, д. 65;https://maps.google.com/maps/api/staticmap?center=56.3191817%2C43.9886059&zoom=17&size=256x256&language=en&sensor=false&client=google-maps-frontend&signature=K1Wa7DUh_0EJSAFZr7GCfA9I_sw;56.3191817;43.9886059
375;Нижегородский государственный инженерно-экономический университет (Княгининский университет);г. Княгинино (Нижегородская обл., Княгининский р-н), ул. Октябрьская, д. 22а;ngiei-pk@mail.ru;8 (83166) 4-15-47;http://www.ngieu.ru;Аграрные,Биологические,Гуманитарные,Информационные,Экономические,Сервиса,Транспортные;https://www.google.com/maps/search/г. Княгинино (Нижегородская обл., Княгининский р-н), ул. Октябрьская, д. 22а;https://maps.google.com/maps/api/staticmap?center=55.826344%2C45.042046&zoom=17&size=256x256&language=en&sensor=false&client=google-maps-frontend&signature=Wnc4Nrj8CVqAzqM7WhSSUOyTuiM;55.826344;45.042046
376;Нижегородский государственный лингвистический университет им. Н.А. Добролюбова;Нижний Новгород, ул. Минина 31а;admdep@lunn.ru;"+7 (831) 436-15-75; (831) 436-20-12 (ПК)";http://www.lunn.ru/;Гуманитарные,Географические,Экономические,Педагогические,Сервиса,Юридические;https://www.google.com/maps/search/Нижний Новгород, ул. Минина 31а;https://maps.google.com/maps/api/staticmap?center=56.3243054%2C44.0277965&zoom=17&size=256x256&language=en&sensor=false&client=google-maps-frontend&signature=2E3l9pJ3NPvOImQkY_MjEBzRPAE;56.3243054;44.0277965
377;Нижегородский государственный педагогический университет им. Козьмы Минина;г. Нижний Новгород, ул. Ульянова, д. 1;"mininuniver@mininuniver.ru; ezakablu@mininuniver.ru";+7 (831) 262-20-59;http://www.mininuniver.ru/;Биологические,Вузы культуры,Гуманитарные,Дизайна,Информационные,Географические,Экономические,Педагогические,Сервиса,Спортивные,Психологические,Транспортные;https://www.google.com/maps/search/г. Нижний Новгород, ул. Ульянова, д. 1;https://maps.google.com/maps/api/staticmap?center=56.3263468%2C44.0078732&zoom=17&size=256x256&language=en&sensor=false&client=google-maps-frontend&signature=VBWlHATMiWQa3u-zgEIkAOIzcz4;56.3263468;44.0078732
378;Нижегородский государственный технический университет им. Р.Е. Алексеева;г. Нижний Новгород (Нижегородская обл.), ул. Минина, д. 24;priem@nntu.nnov.ru;(831) 436-73-43, 220-15-96, 436-94-75;http://www.nntu.ru;Авиационные,Биологические,Гуманитарные,Информационные,Медицинские,Технические,Нефтяные,Транспортные;https://www.google.com/maps/search/г. Нижний Новгород (Нижегородская обл.), ул. Минина, д. 24;https://maps.google.com/maps/api/staticmap?center=56.3259745%2C44.025302&zoom=17&size=256x256&language=en&sensor=false&client=google-maps-frontend&signature=ELy4_1gHhVes9Y_hzomIdNOUVM4;56.3259745;44.025302
379;Нижегородский государственный университет им. Н.И. Лобачевского;г. Нижний Новгород (Нижегородская обл.), пр-т Гагарина, д. 23;unn@unn.ru;(831) 462-30-03, 462-30-45;http://www.unn.ru;Биологические,Вузы культуры,Гуманитарные,Информационные,Географические,Экономические,Медицинские,Педагогические,Сервиса,Спортивные,Технические,Психологические,Юридические;https://www.google.com/maps/search/г. Нижний Новгород (Нижегородская обл.), пр-т Гагарина, д. 23;https://maps.google.com/maps/api/staticmap?center=56.2994982%2C43.9824442&zoom=17&size=256x256&language=en&sensor=false&client=google-maps-frontend&signature=JfAujL0Quaww5TdSoAV2jo8AOt8;56.2994982;43.9824442
380;Нижегородский институт управления Российской академии народного хозяйства и государственной службы при Президенте РФ;г. Нижний Новгород (Нижегородская обл.), пр-т Гагарина, д. 46;niu@niu.ranepa.ru;(831) 412-15-58;http://niu.ranepa.ru/;Гуманитарные,Экономические,Юридические;https://www.google.com/maps/search/г. Нижний Новгород (Нижегородская обл.), пр-т Гагарина, д. 46;https://maps.google.com/maps/api/staticmap?center=56.292307%2C43.9832744&zoom=17&size=256x256&language=en&sensor=false&client=google-maps-frontend&signature=3UThwcLqOmAjOcStXKngWjjsmIM;56.292307;43.9832744
381;Нижегородский филиал Московского гуманитарно-экономического института;г. Нижний Новгород (Нижегородская обл.), Сормовское ш., д. 20;nfmgei@nfmgei.ru;(831) 245-97-77, 245-97-99;http://www.nfmgei.ru;Гуманитарные,Экономические,Педагогические,Юридические;https://www.google.com/maps/search/г. Нижний Новгород (Нижегородская обл.), Сормовское ш., д. 20;https://maps.google.com/maps/api/staticmap?center=56.319895%2C43.92669&zoom=17&size=256x256&language=en&sensor=false&client=google-maps-frontend&signature=WRegcYDuQBWc7SbdWUaKcyy32Dk;56.319895;43.92669
382;Нижневартовский филиал Южно-Уральского государственного университета (национальный исследовательский университет);г. Нижневартовск (Ханты-Мансийский АО), ул. Мира, д. 9;comm@susu-nv.ru;(3466) 27-25-30;http://www.susu-nv.ru/;Гуманитарные,Информационные,Экономические,Строительные,Технические,Транспортные,Юридические;https://www.google.com/maps/search/г. Нижневартовск (Ханты-Мансийский АО), ул. Мира, д. 9;https://maps.google.com/maps/api/staticmap?center=60.945878%2C76.5565759&zoom=17&size=256x256&language=en&sensor=false&client=google-maps-frontend&signature=3Y3UBAVi07mlZqrIrC2vBWzGWQo;60.945878;76.5565759
383;Нижнекамский филиал Казанского инновационного университета имени В.Г. Тимирясова (ИЭУП);г. Нижнекамск (Татарстан респ., Нижнекамский р-н), пр-т Шинников, д. 44;;(8555) 30-15-32;https://nzh.ieml.ru;Гуманитарные,Экономические,Педагогические,Психологические,Пищевые,Юридические;https://www.google.com/maps/search/г. Нижнекамск (Татарстан респ., Нижнекамский р-н), пр-т Шинников, д. 44;https://maps.google.com/maps/api/staticmap?center=55.6543053%2C51.833578&zoom=17&size=256x256&language=en&sensor=false&client=google-maps-frontend&signature=B2L4DIxY0UT9TkgcDY3pjZ2mJ_c;55.6543053;51.833578
384;Нижнекамский химико-технологический институт (филиал КНИТУ);Нижнекамск, пр. Строителей, 47;pd@nchti.ru;(8555) 39-23-87;http://www.nchti.ru/;Биологические,Информационные,Технические,Транспортные,Пищевые;https://www.google.com/maps/search/Нижнекамск, пр. Строителей, 47;https://maps.google.com/maps/api/staticmap?center=55.636722%2C51.8004721&zoom=17&size=256x256&language=en&sensor=false&client=google-maps-frontend&signature=INRBIhhiz68Jmi9S-U9pYIJApDc;55.636722;51.8004721
385;Нижнетагильский технологический институт (филиал) Уральского федерального университета имени первого Президента России Б.Н. Ельцина;г. Нижний Тагил (Свердловская обл.), Красногвардейская ул., д. 59;nti@ntiustu.ru;(3435) 25-65-55, 25-65-00;http://nti.urfu.ru/;Биологические,Информационные,Экономические,Строительные,Технические,Транспортные;https://www.google.com/maps/search/г. Нижний Тагил (Свердловская обл.), Красногвардейская ул., д. 59;https://maps.google.com/maps/api/staticmap?center=57.8888881%2C60.0104943&zoom=17&size=256x256&language=en&sensor=false&client=google-maps-frontend&signature=dmvb3w3_IJgE-LR_rAu74nXkWxQ;57.8888881;60.0104943
386;Николо-Угрешская православная духовная семинария;г. Дзержинский (Московская обл.), пл. Святителя Николая, д. 1;info@nupds.ru;(495) 551-78-29, 551-73-70;http://www.nupds.ru;Вузы культуры;https://www.google.com/maps/search/г. Дзержинский (Московская обл.), пл. Святителя Николая, д. 1;https://maps.google.com/maps/api/staticmap?center=55.622687%2C37.840826&zoom=17&size=256x256&language=en&sensor=false&client=google-maps-frontend&signature=nPtn4Ea-JNRP2skGQf0xpFMhGKA;55.622687;37.840826
387;Новгородский филиал Российской академии народного хозяйства и государственной службы при Президенте РФ;г. Великий Новгород (Новгородская обл.), ул. Германа, д. 31;nfranhigs@novgor.ranepa.ru;(8162) 77-61-51, 77-86-00;http://www.novgor.ranepa.ru/;Гуманитарные,Экономические,Психологические;https://www.google.com/maps/search/г. Великий Новгород (Новгородская обл.), ул. Германа, д. 31;https://maps.google.com/maps/api/staticmap?center=58.535359%2C31.262115&zoom=17&size=256x256&language=en&sensor=false&client=google-maps-frontend&signature=kpLhHUYurVmzz5uLW0CJDrk0o0s;58.535359;31.262115
388;Новомосковский институт (филиал) Российского химико-технологического университета имени Д.И. Менделеева;г. Новомосковск (Тульская обл., Новомосковский р-н), ул. Дружбы, д. 8;director@dialog.nirhtu.ru;(48762) 4-55-19;http://www.nirhtu.ru;Биологические,Гуманитарные,Информационные,Экономические,Сервиса,Технические,Транспортные;https://www.google.com/maps/search/г. Новомосковск (Тульская обл., Новомосковский р-н), ул. Дружбы, д. 8;https://maps.google.com/maps/api/staticmap?center=54.0251981%2C38.2711868&zoom=17&size=256x256&language=en&sensor=false&client=google-maps-frontend&signature=Jl1cMeu-qiNtCdBjisTy_S8c7W8;54.0251981;38.2711868
389;Новороссийский филиал Московского гуманитарно-экономического института;г. Новороссийск (Краснодарский край), ул. Коммунистическая, д. 36;nf_mgei@mail.ru;(8617) 64-48-13;http://nvr-mgei.ru;Гуманитарные,Экономические,Педагогические,Юридические;https://www.google.com/maps/search/г. Новороссийск (Краснодарский край), ул. Коммунистическая, д. 36;https://maps.google.com/maps/api/staticmap?center=44.7182969%2C37.7741145&zoom=17&size=256x256&language=en&sensor=false&client=google-maps-frontend&signature=DV3QVV9-LCXghlEhjxBglV9Oc1s;44.7182969;37.7741145
391;Новороссийский филиал Финансового университета при Правительстве Российской Федерации;г. Новороссийск (Краснодарский край), ул. Видова, д. 56;novoross@fa.ru;8617) 21-13-88, (8617) 21-15-98;http://www.fa.ru/fil/novoross/pk/Pages/Home.aspx;Гуманитарные,Информационные,Экономические;https://www.google.com/maps/search/г. Новороссийск (Краснодарский край), ул. Видова, д. 56;https://maps.google.com/maps/api/staticmap?center=44.723273%2C37.758146&zoom=17&size=256x256&language=en&sensor=false&client=google-maps-frontend&signature=awB7A303wUDMnbff7t7gaYvn8c8;44.723273;37.758146
392;Новосибирская государственная консерватория им. М.И.Глинки;г. Новосибирск (Новосибирская обл.), Советская ул., д. 31;info@nsglinka.ru;(383) 222-42-16, (383) 222-56-87 (приемная комиссия);http://www.nsglinka.ru/;Вузы культуры;https://www.google.com/maps/search/г. Новосибирск (Новосибирская обл.), Советская ул., д. 31;https://maps.google.com/maps/api/staticmap?center=55.028205%2C82.916449&zoom=17&size=256x256&language=en&sensor=false&client=google-maps-frontend&signature=GBMNVKEhL_qNsr_GbdbW5ANG74Q;55.028205;82.916449
393;Новосибирский военный институт имени генерала армии И.К. Яковлева войск национальной гвардии Российской Федерации;630114, г. Новосибирск, ул. Ключ-Камышенское плато, д. 6 2;nvivv@mvd.ru;(383) 338-08-28;http://nvi.rosgvard.ru/;Военные,Гуманитарные,Юридические;https://www.google.com/maps/search/630114, г. Новосибирск, ул. Ключ-Камышенское плато, д. 6 2;https://maps.google.com/maps/api/staticmap?center=54.983279%2C83.034244&zoom=17&size=256x256&language=en&sensor=false&client=google-maps-frontend&signature=6C3pzDZafhKHfTbzpNJgPCNAIag;54.983279;83.034244
394;Новосибирский государственный аграрный университет;г. Новосибирск (Новосибирская обл.), ул. Добролюбова, д. 160;pk@nsau.edu.ru;(383) 347-41-14, 267-38-04, 264-16-78;http://nsau.edu.ru/;Аграрные,Архитектурные,Биологические,Гуманитарные,Экономические,Медицинские,Педагогические,Сервиса,Строительные,Психологические,Транспортные,Пищевые,Юридические;https://www.google.com/maps/search/г. Новосибирск (Новосибирская обл.), ул. Добролюбова, д. 160;https://maps.google.com/maps/api/staticmap?center=55.0294812%2C82.983503&zoom=17&size=256x256&language=en&sensor=false&client=google-maps-frontend&signature=xjqzl9Pw0VcubCyxtsWQRoTdfD8;55.0294812;82.983503
395;Новосибирский государственный архитектурно-строительный университет (Сибстрин);Новосибирск-8, ул. Ленинградская, 113;rector@sibstrin.ru;(383) 266-41-25;http://www.sibstrin.ru/;Архитектурные,Биологические,Гуманитарные,Информационные,Географические,Экономические,Строительные,Технические,Нефтяные;https://www.google.com/maps/search/Новосибирск-8, ул. Ленинградская, 113;https://maps.google.com/maps/api/staticmap?center=55.0141547%2C82.9596354&zoom=17&size=256x256&language=en&sensor=false&client=google-maps-frontend&signature=cYVrSqjSfwCwR69JK4OZKllAVJY;55.0141547;82.9596354
396;Новосибирский государственный медицинский университет;г.Новосибирск, Красный проспект, 52;rector@ngmu.ru;"+7 (383) 222-32-04; +7 (383) 222-27-16 (ПК)";http://www.ngmu.ru/;Медицинские,Психологические;https://www.google.com/maps/search/г.Новосибирск, Красный проспект, 52;https://maps.google.com/maps/api/staticmap?center=55.0361025%2C82.91953&zoom=17&size=256x256&language=en&sensor=false&client=google-maps-frontend&signature=RBVRLfnxyP4NUfeEc6-dCbTVSSQ;55.0361025;82.91953
397;Новосибирский государственный педагогический университет;г. Новосибирск (Новосибирская обл.), ул. Вилюйская, д. 28;nspu-pk@nspu.net;(383) 244-01-37;http://www.nspu.ru;Биологические,Вузы культуры,Гуманитарные,Дизайна,Информационные,Экономические,Педагогические,Сервиса,Психологические;https://www.google.com/maps/search/г. Новосибирск (Новосибирская обл.), ул. Вилюйская, д. 28;https://maps.google.com/maps/api/staticmap?center=55.0004927%2C83.0181503&zoom=17&size=256x256&language=en&sensor=false&client=google-maps-frontend&signature=0q_5JIsqISgokRg-72HziwcvguU;55.0004927;83.0181503
398;Новосибирский государственный театральный институт;г. Новосибирск (Новосибирская обл.), ул. Революции, д. 6;pochtangti2004@mail.ru;(383) 223-48-87, 209-04-95 (учебный театр);http://www.ngti.ru/;Вузы культуры;https://www.google.com/maps/search/г. Новосибирск (Новосибирская обл.), ул. Революции, д. 6;https://maps.google.com/maps/api/staticmap?center=55.0249023%2C82.9107123&zoom=17&size=256x256&language=en&sensor=false&client=google-maps-frontend&signature=kMUCVAKsUa8W5i-s1s86Fm7cy5k;55.0249023;82.9107123
399;Новосибирский государственный технический университет;г. Новосибирск (Новосибирская обл.), пр-т Карла Маркса, д. 20;pk@nstu.ru;(383) 346-02-31, 346-35-75, 346-07-09, 315-39-56;http://nstu.ru;Авиационные,Биологические,Вузы культуры,Гуманитарные,Информационные,Географические,Экономические,Педагогические,Технические,Психологические,Транспортные,Пищевые,Юридические;https://www.google.com/maps/search/г. Новосибирск (Новосибирская обл.), пр-т Карла Маркса, д. 20;https://maps.google.com/maps/api/staticmap?center=54.9863167%2C82.9071664&zoom=17&size=256x256&language=en&sensor=false&client=google-maps-frontend&signature=icxapYJhD8tf96UWFRzaISUi8Ms;54.9863167;82.9071664
400;"Новосибирский государственный университет экономики и управления - ""НИНХ""";"г. Новосибирск, ул. Каменская, 52 1; ул. Каменская 56 (ПК)";"priemc@nsuem.ru; rector@nsuem.ru; (ПК)";+7 (383) 2-110-500, +7 (383) 243-95-95;http://nsuem.ru/;Биологические,Гуманитарные,Информационные,Географические,Экономические,Педагогические,Сервиса,Психологические,Юридические;"https://www.google.com/maps/search/г. Новосибирск, ул. Каменская, 52 1; ул. Каменская 56 (ПК)";https://maps.google.com/maps/api/staticmap?center=55.03061165%2C82.92801735&zoom=15&size=256x256&language=en&sensor=false&client=google-maps-frontend&signature=teQJwpyrLHxDpev2FK0jzih6jTQ;55.03061165;82.92801735
401;Новосибирский национальный исследовательский государственный университет;г. Новосибирск, ул. Пирогова, д. 2;poly@admin.nsu.ru (ПК);"(383) 363-43-33; (383) 330-85-90, 363-40-37 (ПК)";http://www.nsu.ru/;Биологические,Гуманитарные,Информационные,Географические,Экономические,Медицинские,Педагогические,Технические,Нефтяные,Юридические;https://www.google.com/maps/search/г. Новосибирск, ул. Пирогова, д. 2;https://maps.google.com/maps/api/staticmap?center=54.843225%2C83.093115&zoom=17&size=256x256&language=en&sensor=false&client=google-maps-frontend&signature=JYE2F1FlVn5DxkXH0fUla44Sy6E;54.843225;83.093115
402;Новосибирский технологический институт (филиал РГУ им. Косыгина);Новосибирск, ул. Красный проспект, 35;abitura@ntirgu.ru;(383) 222-20-65 (ПК);http://www.ntirgu.ru/;Гуманитарные,Дизайна,Экономические,Педагогические,Технические,Транспортные;https://www.google.com/maps/search/Новосибирск, ул. Красный проспект, 35;https://maps.google.com/maps/api/staticmap?center=55.0342119%2C82.9189164&zoom=17&size=256x256&language=en&sensor=false&client=google-maps-frontend&signature=0-BWBIzKtH_nb0J5x-4IwMSnXrA;55.0342119;82.9189164
403;Новосибирское высшее военное командное училище;г. Новосибирск ул. Иванова, 49;nvvku@academ.org;(383) 332–50–45 (ПК);https://nvvku.mil.ru/;Военные;https://www.google.com/maps/search/г. Новосибирск ул. Иванова, 49;https://maps.google.com/maps/api/staticmap?center=54.87555%2C83.100521&zoom=17&size=256x256&language=en&sensor=false&client=google-maps-frontend&signature=ebWxHam8BZiRgNNRfsga594pE7s;54.87555;83.100521
404;Новотроицкий филиал Национального исследовательского технологического университета «МИСиС»;г. Новотроицк (Оренбургская обл.), ул. Фрунзе, д. 8;pk-nfmisis@yandex.ru;(3537) 67-97-29, 67-96-17 (приемная комиссия);http://nf.misis.ru/;Биологические,Гуманитарные,Экономические,Технические,Транспортные;https://www.google.com/maps/search/г. Новотроицк (Оренбургская обл.), ул. Фрунзе, д. 8;https://maps.google.com/maps/api/staticmap?center=51.1943187%2C58.3101868&zoom=17&size=256x256&language=en&sensor=false&client=google-maps-frontend&signature=qX9Nvk8oFEt4qn4XyG0C7Cj-zzo;51.1943187;58.3101868
405;Омская гуманитарная академия;г. Омск, ул. 4-я Челюскинцев, 2А;abitur@omga.su;"(3812) 28-47-42; (3812) 683588 (ПК)";http://academy.omga.su/;Гуманитарные,Экономические,Педагогические,Психологические;https://www.google.com/maps/search/г. Омск, ул. 4-я Челюскинцев, 2А;https://maps.google.com/maps/api/staticmap?center=55.016585%2C73.422049&zoom=17&size=256x256&language=en&sensor=false&client=google-maps-frontend&signature=ESxdlrowa1sqOm7dEm4mPsVOK6A;55.016585;73.422049
406;Омский государственный аграрный университет им. П.А. Столыпина;г. Омск, Институтская площадь, д. 1;adm@omgau.ru;"(3812) 65-11-46; (3812) 65-53-44 (ПК)";http://www.omgau.ru/;Аграрные,Биологические,Гуманитарные,Географические,Экономические,Медицинские,Технические,Нефтяные,Транспортные,Пищевые;https://www.google.com/maps/search/г. Омск, Институтская площадь, д. 1;https://maps.google.com/maps/api/staticmap?center=55.0225655%2C73.3120956&zoom=17&size=256x256&language=en&sensor=false&client=google-maps-frontend&signature=Z7APg9g1JLEnaG0OVB_Ll7Chvb4;55.0225655;73.3120956
407;Омский государственный медицинский университет;г. Омск (Омская обл.), ул. Ленина, д. 12;rector@omsk-osma.ru;(3812) 23-32-89, 23-25-02;http://www.omsk-osma.ru;Медицинские;https://www.google.com/maps/search/г. Омск (Омская обл.), ул. Ленина, д. 12;https://maps.google.com/maps/api/staticmap?center=54.9857672%2C73.3741332&zoom=17&size=256x256&language=en&sensor=false&client=google-maps-frontend&signature=_WVC3yxUaWqbE2mG0myavC9Z4fA;54.9857672;73.3741332
408;Омский государственный педагогический университет;г. Омск (Омская обл.), наб. Тухачевского, д. 14;admissions@omgpu.ru;(3812) 23-60-20;http://www.omgpu.ru;Биологические,Вузы культуры,Гуманитарные,Дизайна,Экономические,Педагогические,Сервиса,Психологические;https://www.google.com/maps/search/г. Омск (Омская обл.), наб. Тухачевского, д. 14;https://maps.google.com/maps/api/staticmap?center=54.989887%2C73.358065&zoom=17&size=256x256&language=en&sensor=false&client=google-maps-frontend&signature=QUD2ZARpdcK15vCRihUL8Q4KPeY;54.989887;73.358065
409;Омский государственный технический университет;г. Омск (Омская обл.), пр. Мира, д. 11;pk@omgtu.ru;(3812) 72-90-55 (приемная комиссия);http://www.omgtu.ru;Авиационные,Биологические,Гуманитарные,Дизайна,Информационные,Экономические,Медицинские,Сервиса,Строительные,Технические,Нефтяные,Психологические,Транспортные,Пищевые,Юридические;https://www.google.com/maps/search/г. Омск (Омская обл.), пр. Мира, д. 11;https://maps.google.com/maps/api/staticmap?center=55.026125%2C73.290828&zoom=17&size=256x256&language=en&sensor=false&client=google-maps-frontend&signature=dCbwXjIYWgH7cjVtSAAYY8x4tYA;55.026125;73.290828
410;Омский государственный университет им. Ф.М. Достоевского;г. Омск (Омская обл.), пр-т Мира, д. 55а;rector@omsu.ru;(3812) 67-01-04, 22-97-72 (приемная комиссия);http://www.omsu.ru;Биологические,Вузы культуры,Гуманитарные,Информационные,Экономические,Педагогические,Сервиса,Психологические,Юридические;https://www.google.com/maps/search/г. Омск (Омская обл.), пр-т Мира, д. 55а;https://maps.google.com/maps/api/staticmap?center=55.0283975%2C73.2619682&zoom=17&size=256x256&language=en&sensor=false&client=google-maps-frontend&signature=LQJCkVd082uNbYE-P7TKTw2sp5w;55.0283975;73.2619682
411;Омский государственный университет путей сообщения;г. Омск (Омская обл.), пр-т Карла Маркса, д. 35;omgups@omgups.ru;(3812) 31-42-19, 31-06-22;http://www.omgups.ru;Гуманитарные,Информационные,Экономические,Транспортные,Юридические;https://www.google.com/maps/search/г. Омск (Омская обл.), пр-т Карла Маркса, д. 35;https://maps.google.com/maps/api/staticmap?center=54.9694207%2C73.384289&zoom=17&size=256x256&language=en&sensor=false&client=google-maps-frontend&signature=dBDPivL4xKHuEBGHR1xCoBM6Z4Q;54.9694207;73.384289
412;Омский институт водного транспорта (филиал) Сибирского государственного университета водного транспорта;г. Омск (Омская обл.), ул. Ивана Алексеева, д. 4;omsk@nsawt.ru;+7(3812) 24-09-94;http://oivt-sguwt.ru/;Гуманитарные,Экономические,Технические,Транспортные;https://www.google.com/maps/search/г. Омск (Омская обл.), ул. Ивана Алексеева, д. 4;https://maps.google.com/maps/api/staticmap?center=54.987353%2C73.361948&zoom=17&size=256x256&language=en&sensor=false&client=google-maps-frontend&signature=VGHLr8E0nVTquY_FTV_Faupzhxk;54.987353;73.361948
413;Омский филиал Финансового университета при Правительстве Российской Федерации;г. Омск (Омская обл.), ул. Партизанская, д. 6;omsk@fa.ru;(3812) 23-32-37, 23-34-40;http://www.fa.ru/fil/omsk/Pages/Home.aspx;Гуманитарные,Экономические;https://www.google.com/maps/search/г. Омск (Омская обл.), ул. Партизанская, д. 6;https://maps.google.com/maps/api/staticmap?center=54.98437%2C73.372413&zoom=17&size=256x256&language=en&sensor=false&client=google-maps-frontend&signature=Huqfjp4svx9UwnaYygJLTnAZz-c;54.98437;73.372413
414;Оренбургская государственная медицинская академия;г. Оренбург (Оренбургская обл.), Советская ул., д. 6;orgma@esoo.ru;(3532) 77-58-46;http://orgma.ru/;Медицинские,Психологические;https://www.google.com/maps/search/г. Оренбург (Оренбургская обл.), Советская ул., д. 6;https://maps.google.com/maps/api/staticmap?center=51.756245%2C55.105941&zoom=17&size=256x256&language=en&sensor=false&client=google-maps-frontend&signature=ZcomVXIhEF_XYxln900WNTaT6Wo;51.756245;55.105941
415;Оренбургский государственный аграрный университет;г. Оренбург (Оренбургская обл.), ул. Челюскинцев, д.18;ogau@mail.esoo.ru;(3532) 77-52-30, 77-23-50, 72-90-06;http://www.orensau.ru;Аграрные,Биологические,Информационные,Географические,Медицинские,Технические,Юридические;https://www.google.com/maps/search/г. Оренбург (Оренбургская обл.), ул. Челюскинцев, д.18;https://maps.google.com/maps/api/staticmap?center=51.761384%2C55.1149352&zoom=17&size=256x256&language=en&sensor=false&client=google-maps-frontend&signature=b0XN5tkBa6AX6P0vvkQHW1ei_94;51.761384;55.1149352
416;Оренбургский государственный институт искусств;г. Оренбург (Оренбургская обл.), ул. Ленинская, д. 27;ogii@inbox.ru;(353) 277-00-92, 277-25-23, 278-15-37, 278-15-38;http://www.osiart.ru/;Вузы культуры,Информационные;https://www.google.com/maps/search/г. Оренбург (Оренбургская обл.), ул. Ленинская, д. 27;https://maps.google.com/maps/api/staticmap?center=51.7597305%2C55.0986876&zoom=17&size=256x256&language=en&sensor=false&client=google-maps-frontend&signature=obAxnm3bivjHozyOJColy5k9Z5A;51.7597305;55.0986876
417;Оренбургский государственный педагогический университет;г. Оренбург (Оренбургская обл.), Советская ул., д. 19;ospu@ospu.ru;"(3532) 77-70-85; 77-24-52";http://www.ospu.ru;Гуманитарные,Педагогические,Сервиса,Психологические;https://www.google.com/maps/search/г. Оренбург (Оренбургская обл.), Советская ул., д. 19;https://maps.google.com/maps/api/staticmap?center=51.7598353%2C55.1028969&zoom=17&size=256x256&language=en&sensor=false&client=google-maps-frontend&signature=hvGYprbtdYY4LvhQNEXP6hyfHzI;51.7598353;55.1028969
418;Оренбургский государственный университет;г. Оренбург (Оренбургская обл.), пр-т Победы, д. 13;post@mail.osu.ru;(3532) 77-66-72, 37-25-55 (многоканальный);http://www.osu.ru;Архитектурные,Биологические,Вузы культуры,Гуманитарные,Дизайна,Информационные,Географические,Экономические,Педагогические,Сервиса,Строительные,Технические,Психологические,Транспортные,Пищевые,Юридические;https://www.google.com/maps/search/г. Оренбург (Оренбургская обл.), пр-т Победы, д. 13;https://maps.google.com/maps/api/staticmap?center=51.7770305%2C55.1085853&zoom=17&size=256x256&language=en&sensor=false&client=google-maps-frontend&signature=zxtqEOQGa4wPkUROiCS7dK__e90;51.7770305;55.1085853
419;Оренбургский институт путей сообщения Самарского государственного университета путей сообщения;г. Оренбург (Оренбургская обл.), пр-д Коммунаров, д. 18;samaps@yandex.ru;(3532) 74-23-51 (приемная комиссия);http://origt.ru;Гуманитарные,Экономические,Строительные,Технические,Транспортные;https://www.google.com/maps/search/г. Оренбург (Оренбургская обл.), пр-д Коммунаров, д. 18;https://maps.google.com/maps/api/staticmap?center=51.771109%2C55.0828241&zoom=17&size=256x256&language=en&sensor=false&client=google-maps-frontend&signature=jqtTFYNYjmt4OHQ_l9BsS5J-Ydg;51.771109;55.0828241
